Actual values,Predicted values
"[23.448999404907227, 22.4950008392334, 22.599000930786133, 22.895999908447266, 24.04400062561035, 22.610000610351562, 22.465999603271484, 22.393999099731445, 22.485000610351562, 22.948999404907227, 22.474000930786133, 22.46299934387207, 22.518999099731445, 23.402999877929688, 24.041000366210938, 23.283000946044922, 22.4689998626709]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[23.448999404907227, 22.4950008392334, 22.599000930786133, 22.895999908447266, 24.04400062561035, 22.610000610351562, 22.465999603271484, 22.393999099731445, 22.485000610351562, 22.948999404907227, 22.474000930786133, 22.46299934387207, 22.518999099731445, 23.402999877929688, 24.041000366210938, 23.283000946044922, 22.4689998626709]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[23.816999435424805, 22.4950008392334, 22.599000930786133, 22.895999908447266, 24.04400062561035, 22.87700080871582, 22.465999603271484, 22.577999114990234, 22.485000610351562, 22.948999404907227, 22.589000701904297, 22.46299934387207, 22.518999099731445, 23.402999877929688, 24.041000366210938, 23.283000946044922, 22.4689998626709]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[23.816999435424805, 22.4950008392334, 22.599000930786133, 22.895999908447266, 24.04400062561035, 22.87700080871582, 22.465999603271484, 22.577999114990234, 22.485000610351562, 22.948999404907227, 22.589000701904297, 22.46299934387207, 22.518999099731445, 23.50200080871582, 24.041000366210938, 23.283000946044922, 22.4689998626709]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[23.816999435424805, 22.708999633789062, 22.8799991607666, 22.895999908447266, 24.2549991607666, 22.87700080871582, 22.666000366210938, 22.577999114990234, 22.638999938964844, 23.075000762939453, 22.589000701904297, 22.577999114990234, 22.518999099731445, 23.50200080871582, 24.041000366210938, 23.283000946044922, 22.4689998626709]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[23.816999435424805, 22.708999633789062, 22.8799991607666, 23.09600067138672, 24.2549991607666, 22.87700080871582, 22.666000366210938, 22.577999114990234, 22.638999938964844, 23.075000762939453, 22.589000701904297, 22.577999114990234, 22.518999099731445, 23.50200080871582, 24.139999389648438, 23.395000457763672, 22.599000930786133]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[23.816999435424805, 22.708999633789062, 22.8799991607666, 23.09600067138672, 24.2549991607666, 22.87700080871582, 22.666000366210938, 22.577999114990234, 22.638999938964844, 23.075000762939453, 22.589000701904297, 22.577999114990234, 22.645000457763672, 23.50200080871582, 24.139999389648438, 23.395000457763672, 22.599000930786133]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[24.23900032043457, 22.708999633789062, 22.8799991607666, 23.09600067138672, 24.2549991607666, 23.090999603271484, 22.666000366210938, 22.70599937438965, 22.638999938964844, 23.075000762939453, 22.743999481201172, 22.577999114990234, 22.645000457763672, 23.50200080871582, 24.139999389648438, 23.395000457763672, 22.599000930786133]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[24.23900032043457, 22.708999633789062, 22.8799991607666, 23.09600067138672, 24.2549991607666, 23.090999603271484, 22.666000366210938, 22.70599937438965, 22.638999938964844, 23.075000762939453, 22.743999481201172, 22.577999114990234, 22.645000457763672, 23.6299991607666, 24.139999389648438, 23.395000457763672, 22.599000930786133]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[24.23900032043457, 22.94700050354004, 23.191999435424805, 23.09600067138672, 24.2549991607666, 23.090999603271484, 22.86400032043457, 22.70599937438965, 22.75200080871582, 23.23200035095215, 22.743999481201172, 22.577999114990234, 22.645000457763672, 23.6299991607666, 24.139999389648438, 23.395000457763672, 22.599000930786133]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[24.23900032043457, 22.94700050354004, 23.191999435424805, 23.322999954223633, 24.39900016784668, 23.090999603271484, 22.86400032043457, 22.70599937438965, 22.75200080871582, 23.23200035095215, 22.743999481201172, 22.70599937438965, 22.645000457763672, 23.6299991607666, 24.23900032043457, 23.506999969482422, 22.75200080871582]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[24.23900032043457, 22.94700050354004, 23.191999435424805, 23.322999954223633, 24.39900016784668, 23.090999603271484, 22.86400032043457, 22.70599937438965, 22.75200080871582, 23.23200035095215, 22.743999481201172, 22.70599937438965, 22.826000213623047, 23.6299991607666, 24.23900032043457, 23.506999969482422, 22.75200080871582]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[24.565000534057617, 22.94700050354004, 23.191999435424805, 23.322999954223633, 24.39900016784668, 23.2189998626709, 22.86400032043457, 22.847999572753906, 22.75200080871582, 23.23200035095215, 22.743999481201172, 22.70599937438965, 22.826000213623047, 23.6299991607666, 24.23900032043457, 23.506999969482422, 22.75200080871582]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[24.565000534057617, 22.94700050354004, 23.191999435424805, 23.322999954223633, 24.39900016784668, 23.2189998626709, 22.86400032043457, 22.847999572753906, 22.75200080871582, 23.23200035095215, 22.856000900268555, 22.70599937438965, 22.826000213623047, 23.6299991607666, 24.23900032043457, 23.506999969482422, 22.75200080871582]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[24.565000534057617, 23.14699935913086, 23.402999877929688, 23.322999954223633, 24.39900016784668, 23.2189998626709, 23.018999099731445, 22.847999572753906, 22.920000076293945, 23.347000122070312, 22.856000900268555, 22.70599937438965, 22.826000213623047, 23.73200035095215, 24.23900032043457, 23.506999969482422, 22.75200080871582]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[24.565000534057617, 23.14699935913086, 23.402999877929688, 23.490999221801758, 24.454999923706055, 23.2189998626709, 23.018999099731445, 22.847999572753906, 22.920000076293945, 23.347000122070312, 22.856000900268555, 22.832000732421875, 22.826000213623047, 23.73200035095215, 24.281999588012695, 23.64900016784668, 22.948999404907227]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[24.565000534057617, 23.14699935913086, 23.402999877929688, 23.490999221801758, 24.454999923706055, 23.2189998626709, 23.018999099731445, 22.847999572753906, 22.920000076293945, 23.347000122070312, 22.856000900268555, 22.832000732421875, 22.968000411987305, 23.73200035095215, 24.281999588012695, 23.64900016784668, 22.948999404907227]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
