Total Topk Error Scores,Ground Values,,,,,
,,,,,,
0,1,,Analysis for Total Topk Err,,Analysis for Ground Values,
,,,,,,
0,1,,Mean,0.646447557,Mean,0.323192414
,,,Standard Error,0.005912304,Standard Error,0.004157663
0,0,,Median,0.555170814,Median,0
,,,Mode,-0.27180347,Mode,0
1.99980185,0,,Standard Deviation,0.665101369,Standard Deviation,0.467713976
,,,Sample Variance,0.442359831,Sample Variance,0.218756364
1.88934725,0,,Kurtosis,0.807812961,Kurtosis,-1.42843339
,,,Skewness,0.867423234,Skewness,0.756169548
1.586597222,0,,Range,5.066045486,Range,1
,,,Minimum,-0.27180347,Minimum,0
0.895048019,0,,Maximum,4.794242016,Maximum,1
,,,Sum,8180.793834,Sum,4090
0.179989571,0,,Count,12655,Count,12655
,,,,,,
-0.193088987,0,,,,,
,,,,,,
-0.230375734,0,,,,,
,,,,,,
-0.27180347,0,,,,,
,,,,,,
-0.27180347,1,,,,,
,,,,,,
-0.27180347,0,,,,,
,,,,,,
-0.163036468,0,,,,,
,,,,,,
0.055553581,1,,,,,
,,,,,,
0.463631655,0,,,,,
,,,,,,
0.523815681,1,,,,,
,,,,,,
0.711598421,1,,,,,
,,,,,,
1.225676972,0,,,,,
,,,,,,
1.377202943,0,,,,,
,,,,,,
1.20513314,0,,,,,
,,,,,,
0.732704094,1,,,,,
,,,,,,
0.400997006,0,,,,,
,,,,,,
0.230755748,0,,,,,
,,,,,,
0.322015538,0,,,,,
,,,,,,
0.317640561,0,,,,,
,,,,,,
0.187051099,1,,,,,
,,,,,,
0.162455543,0,,,,,
,,,,,,
0.287262951,1,,,,,
,,,,,,
0.557240557,0,,,,,
,,,,,,
0.718945456,1,,,,,
,,,,,,
0.652578976,1,,,,,
,,,,,,
1.020325372,1,,,,,
,,,,,,
1.277973353,0,,,,,
,,,,,,
1.535567417,1,,,,,
,,,,,,
1.772032134,0,,,,,
,,,,,,
1.621656722,0,,,,,
,,,,,,
1.2780078,0,,,,,
,,,,,,
0.950723097,0,,,,,
,,,,,,
0.519888934,0,,,,,
,,,,,,
0.200505103,1,,,,,
,,,,,,
0.038691767,0,,,,,
,,,,,,
0.16850247,1,,,,,
,,,,,,
0.877715096,1,,,,,
,,,,,,
1.159631095,0,,,,,
,,,,,,
1.036950235,1,,,,,
,,,,,,
1.25401614,0,,,,,
,,,,,,
1.511902033,0,,,,,
,,,,,,
1.325378807,0,,,,,
,,,,,,
0.697963863,1,,,,,
,,,,,,
0.545638898,1,,,,,
,,,,,,
1.014097483,0,,,,,
,,,,,,
1.312692543,0,,,,,
,,,,,,
1.506463326,1,,,,,
,,,,,,
1.599608552,0,,,,,
,,,,,,
1.114594744,0,,,,,
,,,,,,
0.826251816,0,,,,,
,,,,,,
0.765808952,0,,,,,
,,,,,,
0.574822488,1,,,,,
,,,,,,
0.14809854,0,,,,,
,,,,,,
-0.123590441,1,,,,,
,,,,,,
0.162180398,0,,,,,
,,,,,,
0.447471875,1,,,,,
,,,,,,
0.8650463,1,,,,,
,,,,,,
1.053234613,1,,,,,
,,,,,,
1.165204847,1,,,,,
,,,,,,
2.066694373,0,,,,,
,,,,,,
2.419409202,0,,,,,
,,,,,,
2.245052181,0,,,,,
,,,,,,
1.820127426,0,,,,,
,,,,,,
1.109461174,0,,,,,
,,,,,,
0.32830679,0,,,,,
,,,,,,
-0.148165828,0,,,,,
,,,,,,
-0.21166797,0,,,,,
,,,,,,
-0.27180347,0,,,,,
,,,,,,
-0.27180347,1,,,,,
,,,,,,
-0.01834794,0,,,,,
,,,,,,
0.332901955,0,,,,,
,,,,,,
0.5574624,0,,,,,
,,,,,,
0.621076963,1,,,,,
,,,,,,
0.427856225,1,,,,,
,,,,,,
0.609622412,0,,,,,
,,,,,,
0.812232681,0,,,,,
,,,,,,
0.807098699,0,,,,,
,,,,,,
0.696684936,1,,,,,
,,,,,,
0.493988686,0,,,,,
,,,,,,
0.160778297,0,,,,,
,,,,,,
0.118428379,0,,,,,
,,,,,,
0.132463336,0,,,,,
,,,,,,
0.001959475,1,,,,,
,,,,,,
-0.156021815,1,,,,,
,,,,,,
0.058763189,0,,,,,
,,,,,,
0.673336209,0,,,,,
,,,,,,
0.901189385,0,,,,,
,,,,,,
1.091000753,0,,,,,
,,,,,,
0.734901982,1,,,,,
,,,,,,
0.428127091,0,,,,,
,,,,,,
0.504677914,1,,,,,
,,,,,,
1.258303301,0,,,,,
,,,,,,
1.781794335,1,,,,,
,,,,,,
1.931571098,0,,,,,
,,,,,,
1.733460874,0,,,,,
,,,,,,
1.207220306,0,,,,,
,,,,,,
1.39377893,0,,,,,
,,,,,,
0.869804089,1,,,,,
,,,,,,
0.665380841,1,,,,,
,,,,,,
0.712908573,1,,,,,
,,,,,,
1.078213941,0,,,,,
,,,,,,
1.190149574,0,,,,,
,,,,,,
1.032576416,0,,,,,
,,,,,,
1.201992669,1,,,,,
,,,,,,
0.820303334,0,,,,,
,,,,,,
0.174373864,0,,,,,
,,,,,,
0.408685311,0,,,,,
,,,,,,
0.485281451,0,,,,,
,,,,,,
0.180406348,1,,,,,
,,,,,,
0.291962788,0,,,,,
,,,,,,
0.399076133,1,,,,,
,,,,,,
0.845547339,0,,,,,
,,,,,,
1.061336636,0,,,,,
,,,,,,
0.849848883,1,,,,,
,,,,,,
0.805133966,0,,,,,
,,,,,,
0.511760807,0,,,,,
,,,,,,
0.492446158,0,,,,,
,,,,,,
0.42701706,0,,,,,
,,,,,,
0.277943658,0,,,,,
,,,,,,
0.003099616,0,,,,,
,,,,,,
-0.171325345,0,,,,,
,,,,,,
-0.223969459,1,,,,,
,,,,,,
-0.04663749,1,,,,,
,,,,,,
0.26652621,0,,,,,
,,,,,,
0.46600175,0,,,,,
,,,,,,
0.524339662,0,,,,,
,,,,,,
0.3532763,0,,,,,
,,,,,,
0.0401126,0,,,,,
,,,,,,
-0.15936294,1,,,,,
,,,,,,
0.03535503,1,,,,,
,,,,,,
0.458579311,0,,,,,
,,,,,,
0.914398431,0,,,,,
,,,,,,
0.97942569,0,,,,,
,,,,,,
0.70044494,1,,,,,
,,,,,,
0.576107182,0,,,,,
,,,,,,
0.420720455,0,,,,,
,,,,,,
0.56681614,0,,,,,
,,,,,,
0.606135729,0,,,,,
,,,,,,
0.347553099,1,,,,,
,,,,,,
0.2951361,1,,,,,
,,,,,,
0.183897226,0,,,,,
,,,,,,
0.603225959,0,,,,,
,,,,,,
0.749588758,0,,,,,
,,,,,,
0.830808842,0,,,,,
,,,,,,
0.537248451,1,,,,,
,,,,,,
0.152755242,0,,,,,
,,,,,,
0.300881907,0,,,,,
,,,,,,
0.481682704,0,,,,,
,,,,,,
0.50151683,0,,,,,
,,,,,,
0.324994363,0,,,,,
,,,,,,
0.039099082,1,,,,,
,,,,,,
0.010417734,0,,,,,
,,,,,,
0.278153885,0,,,,,
,,,,,,
0.572737754,0,,,,,
,,,,,,
0.662988832,1,,,,,
,,,,,,
0.32592532,0,,,,,
,,,,,,
0.124604675,0,,,,,
,,,,,,
0.274202377,0,,,,,
,,,,,,
0.317640561,0,,,,,
,,,,,,
0.184430492,1,,,,,
,,,,,,
0.106233465,1,,,,,
,,,,,,
0.143822187,0,,,,,
,,,,,,
0.240469628,0,,,,,
,,,,,,
0.33360592,0,,,,,
,,,,,,
0.437158096,0,,,,,
,,,,,,
0.237470342,1,,,,,
,,,,,,
0.090225292,1,,,,,
,,,,,,
0.627541577,0,,,,,
,,,,,,
1.483487588,0,,,,,
,,,,,,
1.976932893,0,,,,,
,,,,,,
2.473453878,0,,,,,
,,,,,,
1.877489045,0,,,,,
,,,,,,
0.820291057,0,,,,,
,,,,,,
0.30240016,0,,,,,
,,,,,,
-0.193847152,1,,,,,
,,,,,,
0.056403607,1,,,,,
,,,,,,
0.296840188,1,,,,,
,,,,,,
1.099251781,0,,,,,
,,,,,,
1.732858928,0,,,,,
,,,,,,
2.023737286,1,,,,,
,,,,,,
2.012261106,1,,,,,
,,,,,,
1.136162911,1,,,,,
,,,,,,
1.497267777,0,,,,,
,,,,,,
1.625432911,0,,,,,
,,,,,,
1.797590834,0,,,,,
,,,,,,
1.584178678,1,,,,,
,,,,,,
0.943809823,0,,,,,
,,,,,,
